age,gender,district,number
0 - 4,男,中西區,3748
0 - 4,女,中西區,3806
0 - 4,男,灣仔 ,2564
0 - 4,女,灣仔 ,2546
0 - 4,男,東區 ,7196
0 - 4,女,東區,6794
0 - 4,男,南區,3642
0 - 4,女,南區,3517
0 - 4,男,油尖旺,6031
0 - 4,女,油尖旺,5764
0 - 4,男,深水埗,7252
0 - 4,女,深水埗,6479
0 - 4,男,九龍城,6849
0 - 4,女,九龍城,6501
0 - 4,男,黃大仙,4767
0 - 4,女,黃大仙,4450
0 - 4,男,觀塘,8918
0 - 4,女,觀塘,8199
0 - 4,男,葵青,6910
0 - 4,女,葵青,6422
0 - 4,男,荃灣,6020
0 - 4,女,荃灣,5555
0 - 4,男,屯門,8014
0 - 4,女,屯門,7878
0 - 4,男,元朗,12375
0 - 4,女,元朗,11765
0 - 4,男,北區,4662
0 - 4,女,北區,4706
0 - 4,男,大埔,5393
0 - 4,女,大埔,5001
0 - 4,男,沙田,10524
0 - 4,女,沙田,9847
0 - 4,男,西貢,8765
0 - 4,女,西貢,8338
0 - 4,男,離島,3405
0 - 4,女,離島,3495